% Occupied,% Reported,% Extremely Low Income,% Female Head,% in poverty (Census tract),% minority (Census tract),% Very Low Income,% with disability among Head Spouse Co-head aged 61 years or less,% with disability among Head Spouse Co-head aged 62 years or older,0-1 BedroomUnits,Active Subsidies,City,CountyID,Earliest Start Date,FHA Loan Sub Program Units,FHA Loan Units,FairMarketRent 2BR,GEOID (census dataset 201910121110.csv),GEOID (hud dataset 201910121111.csv),GEOID (nhpd dataset 201910121111.csv),Geoid,HOME Grants,HUD Property ID,Household income per year,Latitude,Longitude,Low Income Housing Tax Credit sub-program,Low Income Housing Tax Credit,Median Income HH,NHPD Property ID,Number of Records,Occupancy Rate,Owner Type,Percent of ELI Households,Property Address,Property Name,Property Status,Rent Burdened H Hs,Rural Rental Housing,Section 8 Housing Units,StateID,State,Subsidized units available,Supportive Housing Elderly,Target Tenant Type,Three Plus Bedroom Units,Total Units,Total Low Income H Hs,TractID,TractName,Two Bedroom Units,Zip
95,100,83,83,24,78,98,16,29,,2,Clarkston,89,4/1/88,,144,860,13089022100,13089022100,13089022100,13089022100,,,11595,33.7906241,-84.2553347,,144,34479,1038681,1,,For Profit,,600 Northern Ave,TUSCANY VILLAGE,Active,624,,,13,GA,299,,,,144,531,22100,Census Tract 221,,30021-1909
95,100,83,83,24,78,98,16,29,0,3,Scottdale,89,1/1/14,,150,860,13089022100,13089022100,13089022100,13089022100,,800004885,11595,33.7906241,-84.2553347,,0,34479,1038049,1,94,Profit Motivated,84,338 Hatton Dr,OAK FOREST APARTMENTS,Active,624,,150,13,GA,299,,Family,40,150,531,22100,Census Tract 221,110,30079-1820
-4,-4,-4,-4,-4,-4,-4,-4,-4,12,1,Decatur,89,1/1/03,,,1250,13089022204,13089022204,13089022204,13089022204,,,-4,33.8041575,-84.2688192,,,47421,1038752,1,,,,3117 Cedar Brook Dr,CEDAR CREEK WEST APARTMENTS,Active,1176,,,13,GA,2,,,52,164,1065,22204,Census Tract 222.04,100,30033-6032
-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,Decatur,89,1/1/03,,,1250,13089022204,13089022204,13089022204,13089022204,,,-4,33.8041575,-84.2688192,,,47421,1038748,1,,,,3073 Cedar Creek Pkwy,CEDAR CREEK APARTMENTS,Active,1176,,,13,GA,2,,,10,168,1065,22204,Census Tract 222.04,22,30033-4460
99,100,60,66,15,24,100,-1,16,43,2,Decatur,89,6/1/73,,216,1250,13089022301,13089022301,13089022301,13089022301,,800004712,13857,33.7976551,-84.2935166,,,66260,1037871,1,100,Profit Motivated,58,1438 Church St,DECATUR CHRISTIAN TOWERS,Active,673,,43,13,GA,53,,Elderly,,216,480,22301,Census Tract 223.01,,30030-1582
98,100,76,71,31,30,94,40,33,,1,Decatur,89,12/31/13,,,1260,13089022500,13089022500,13089022500,13089022500,,,14154,33.7759491,-84.3055206,,,78555,1039571,1,99,Public Entity,61,263 Robin St,ALLEN WILSON PHASE III,Active,962,,,13,GA,568,,,,71,661,22500,Census Tract 225,,30030
98,100,76,71,31,30,94,40,33,,1,Decatur,89,2/28/70,,,1260,13089022500,13089022500,13089022500,13089022500,,,14154,33.7759491,-84.3055206,,,78555,1038303,1,100,Public Entity,69,463 Electric Ave,ALLEN WILSON TERRACE,Active,962,,,13,GA,568,,,,98,661,22500,Census Tract 225,,30030-3033
98,100,76,71,31,30,94,40,33,6,3,Decatur,89,1/1/12,,,1260,13089022500,13089022500,13089022500,13089022500,,,14154,33.7759491,-84.3055206,71,0,78555,1039120,1,100,Multiple,83,1450 Commerce Dr,ALLEN WILSON - PHASE III,Active,962,,,13,GA,568,,Eldery or Disabled,16,80,661,22500,Census Tract 225,49,30030
98,100,76,71,31,30,94,40,33,8,2,Decatur,89,1/1/11,,,1260,13089022500,13089022500,13089022500,13089022500,,,14154,33.7759491,-84.3055206,,80,78555,1039118,1,98,Multiple,62,1480 Commerce Dr,ALLEN WILSON TERRACE PHASE I,Active,962,,,13,GA,568,,,16,40,661,22500,Census Tract 225,16,30030
98,100,76,71,31,30,94,40,33,169,1,Decatur,89,3/1/85,,,1260,13089022500,13089022500,13089022500,13089022500,,800004899,14154,33.7759491,-84.3055206,,,78555,1038085,1,98,Profit Motivated,87,700 Atlanta Ave,PARK TRACE APARTMENTS,Active,962,,169,13,GA,568,,Elderly,0,170,661,22500,Census Tract 225,0,30030-3047
98,100,76,71,31,30,94,40,33,25,4,Decatur,89,6/1/15,,,1260,13089022500,13089022500,13089022500,13089022500,,800004769,14154,33.7759491,-84.3055206,0,0,78555,1037993,1,94,Profit Motivated,85,421 W Trinity Pl,TRINITY WALK II,Active,962,,69,13,GA,568,,Elderly,15,69,661,22500,Census Tract 225,30,30030-3022
99,100,59,82,7,20,99,-1,1,74,0,Decatur,89,,,,1260,13089022600,13089022600,13089022600,13089022600,,,14668,33.7806155,-84.2918776,,,79806,1129987,1,,,,590 E Freeman St,DECATUR EAST,Inconclusive,823,,,13,GA,258,,,0,92,692,22600,Census Tract 226,18,30030-4064
98,100,94,33,12,39,100,81,100,9,1,Decatur,89,6/1/19,,,1260,13089022700,13089022700,13089022700,13089022700,,800112328,10080,33.7604576,-84.3039352,,,102604,1018487,1,99,Non-Profit,93,321 W Hill St,SHEPHERD CENTER,Active,388,,14,13,GA,17,,,0,14,251,22700,Census Tract 227,5,30030-4362
-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,Decatur,89,1/1/96,,,1260,13089022800,13089022800,13089022800,13089022800,,,-1,33.7630322,-84.2895841,,28,128393,1038337,1,,,,135 E Hill St,COLUMNS AT EAST HILL,Active,92,,,13,GA,-1,,,,28,92,22800,Census Tract 228,,30030-4354
96,100,78,86,10,40,97,-1,31,4,0,Decatur,89,3/9/95,,,1260,13089022900,13089022900,13089022900,13089022900,,800004682,12691,33.75928,-84.2784607,,,73472,1037944,1,,Profit Motivated,,1179 Russell Dr,COMMUNITY HOUSING INC,Inconclusive,264,,4,13,GA,46,,Disabled,,4,207,22900,Census Tract 229,,30030-4746
-4,-4,-4,-4,-4,-4,-4,-4,-4,70,1,Decatur,89,1/1/96,,,810,13089023000,13089023000,13089023000,13089023000,,,-4,33.7708628,-84.2684881,,80,66250,1038333,1,,For Profit,,1048 Columbia Dr,FORREST HEIGHTS APARTMENTS NSP3,Active,190,,,13,GA,2,,,,80,152,23000,Census Tract 230,10,30030-4725
96,100,81,75,22,85,98,41,74,,1,Decatur,89,1/1/93,,,970,13089023101,13089023101,13089023101,13089023101,,,11153,33.7439772,-84.2760817,,58,49667,1038237,1,,For Profit,,1575 Line St,DELANO PLACE,Active,517,,,13,GA,70,,,,58,460,23101,Census Tract 231.01,,30032
94,100,81,54,17,64,96,45,57,,1,Decatur,89,1/1/02,,,970,13089023102,13089023102,13089023102,13089023102,,,11532,33.7646972,-84.2563634,,177,39703,1038754,1,,For Profit,,3308 Covington Dr,BRITTANY APARTMENTS,Active,831,,,13,GA,65,,,,177,653,23102,Census Tract 231.02,,30032-2236
94,100,76,81,36,95,97,39,71,,1,Decatur,89,1/1/06,,,970,13089023108,13089023108,13089023108,13089023108,,,13406,33.7452843,-84.2322393,,160,31078,1038760,1,,For Profit,,3907 Redwing Cir,RETREAT AT MADISON PLACE,Active,1100,,,13,GA,100,,,,160,893,23108,Census Tract 231.08,,30035-1388
94,100,59,66,29,84,97,21,70,6,1,Stone Mountain,89,3/1/18,,,1010,13089023114,13089023114,13089023114,13089023114,,800247171,16285,33.7808851,-84.2300879,,,50889,1023846,1,,Limited Dividend,,3904 Durham Park Rd,MANOR AT INDIAN CREEK,Active,142,,9,13,GA,23,,,,94,112,23114,Census Tract 231.14,3,30083-4681
95,100,73,92,25,93,96,25,35,,1,Stone Mountain,89,3/21/14,,,1010,13089023206,13089023206,13089023206,13089023206,4,,14475,33.7467447,-84.2083098,,,50142,1039527,1,,,,4683 Redan Rd,SHEPPARD MANOR (LANE MANOR) SENIOR HOUSING,Active,983,,,13,GA,181,,,,4,787,23206,Census Tract 232.06,,30083
95,100,73,92,25,93,96,25,35,,1,STONE MOUNTAIN,89,12/23/05,,,1010,13089023206,13089023206,13089023206,13089023206,10,,14475,33.7467447,-84.2083098,,,50142,1038961,1,,,,1823 S HAIRSTON RD,ANTIOCH MANOR ESTATES-ELDERLY PROJECT,Active,983,,,13,GA,181,,,,120,787,23206,Census Tract 232.06,,30088
95,100,73,92,25,93,96,25,35,68,2,Stone Mountain,89,1/1/11,,,1010,13089023206,13089023206,13089023206,13089023206,,,14475,33.7467447,-84.2083098,106,,50142,1039097,1,,,,4735 Bishop Ming Blvd,ANTIOCH VILLAS AND GARDENS PH III,Active,983,,,13,GA,181,,,0,106,787,23206,Census Tract 232.06,38,30088
95,100,73,92,25,93,96,25,35,,1,Stone Mountain,89,1/1/05,,,1010,13089023206,13089023206,13089023206,13089023206,,,14475,33.7467447,-84.2083098,,96,50142,1037978,1,,For Profit,,4711 Bishop Ming Blvd,ANTIOCH MANOR ESTATES I,Active,983,,,13,GA,181,,,,120,787,23206,Census Tract 232.06,,30088-5701
95,100,73,92,25,93,96,25,35,53,1,Stone Mountain,89,3/1/19,,,1010,13089023206,13089023206,13089023206,13089023206,,800225974,14475,33.7467447,-84.2083098,,,50142,1038987,1,98,Non-Profit,67,4695 Redan Rd,LANE MANOR,Active,983,,53,13,GA,181,,Elderly,0,54,787,23206,Census Tract 232.06,0,30083-5136
95,100,73,92,25,93,96,25,35,6,1,Stone Mountain,89,4/1/19,,,1010,13089023206,13089023206,13089023206,13089023206,,800005017,14475,33.7467447,-84.2083098,,,50142,1018486,1,,Non-Profit,,1407 S Hairston Rd,TRAVIS HOUSE,Active,983,,6,13,GA,181,,Disabled,0,7,787,23206,Census Tract 232.06,0,30088-4620
95,100,76,82,19,94,96,24,86,117,2,Stone Mountain,89,1/1/05,,,1100,13089023208,13089023208,13089023208,13089023208,,,12926,33.7749675,-84.1855843,353,0,40182,1038067,1,,Multiple,,1038 S Hairston Rd,THE PARK AT HAIRSTON FKA LAKE POINT,Active,766,,,13,GA,122,,,62,354,704,23208,Census Tract 232.08,174,30088-2310
93,100,79,81,16,97,95,40,66,36,1,Decatur,89,1/1/03,,,1060,13089023213,13089023213,13089023213,13089023213,,,13221,33.7214445,-84.2040175,,170,43821,1038550,1,,For Profit,,4522 Snapfinger Woods Dr,CHAPEL RUN APARTMENTS,Active,978,,,13,GA,163,,,48,172,858,23213,Census Tract 232.13,88,30035-4178
93,100,79,81,16,97,95,40,66,30,1,Decatur,89,1/1/02,,,1060,13089023213,13089023213,13089023213,13089023213,,,13221,33.7214445,-84.2040175,,124,43821,1038539,1,,For Profit,,4581 Snapfinger Woods Dr,VILLAS OF FRIENDLY HEIGHTS,Active,978,,,13,GA,163,,,24,132,858,23213,Census Tract 232.13,78,30035
95,100,73,91,22,91,94,19,57,,1,Lithonia,89,6/8/11,,,1180,13089023303,13089023303,13089023303,13089023303,36,,13766,33.7165568,-84.0804965,,,45134,1039406,1,,,,2526 Park Dr,THE TERRACES AT PARKVIEW,Active,905,,,13,GA,248,,,,90,689,23303,Census Tract 233.03,,30058
95,100,73,91,22,91,94,19,57,,1,Lithonia,89,2/28/61,,,1180,13089023303,13089023303,13089023303,13089023303,,,13766,33.7165568,-84.0804965,,,45134,1039330,1,99,Public Entity,61,6813 Parkway Dr,PROJECT UNNAMED,Active,905,,,13,GA,248,,,,75,689,23303,Census Tract 233.03,,30058-4533
95,100,76,84,27,98,97,27,20,,1,Lithonia,89,1/1/95,,,1180,13089023310,13089023310,13089023310,13089023310,,,12580,33.7095789,-84.1411108,,119,33879,1038349,1,,Multiple,,6170 Hillandale Dr,GROVEWOOD PARK APARTMENTS,Active,2600,,,13,GA,336,,,64,120,2135,23310,Census Tract 233.10,56,30058-2407
95,100,76,84,27,98,97,27,20,54,1,Lithonia,89,12/1/18,,,1180,13089023310,13089023310,13089023310,13089023310,,800064678,12580,33.7095789,-84.1411108,,,33879,1018508,1,98,Non-Profit,72,5470 Hillandale Dr,"ALICE WILLIAMS TOWERS, II                         ",Active,2600,,54,13,GA,336,,Elderly,0,54,2135,23310,Census Tract 233.10,0,30058-4865
